date,open,high,low,close,volume,average,barCount
2026-04-09 01:31:59-04:00,4743.2,4743.2,4743.1,4743.1,4.0,4743.18,2
2026-04-09 01:32:00-04:00,4743.2,4743.4,4743.2,4743.4,5.0,4743.3,3
2026-04-09 01:32:01-04:00,4743.5,4743.5,4743.5,4743.5,4.0,4743.5,1
2026-04-09 01:32:02-04:00,4743.3,4743.6,4743.3,4743.6,2.0,4743.45,2
2026-04-09 01:32:03-04:00,4743.3,4743.3,4743.3,4743.3,2.0,4743.3,1
2026-04-09 01:32:04-04:00,4743.3,4743.3,4743.3,4743.3,1.0,4743.3,1
2026-04-09 01:32:05-04:00,4743.3,4743.3,4742.9,4743.0,10.0,4743.09,8
2026-04-09 01:32:06-04:00,4743.0,4743.0,4743.0,4743.0,0.0,4743.0,0
2026-04-09 01:32:07-04:00,4743.0,4743.0,4743.0,4743.0,0.0,4743.0,0
2026-04-09 01:32:08-04:00,4742.9,4742.9,4742.9,4742.9,1.0,4742.9,1
2026-04-09 01:32:09-04:00,4742.9,4742.9,4742.9,4742.9,0.0,4742.9,0
2026-04-09 01:32:10-04:00,4742.6,4742.6,4742.5,4742.5,5.0,4742.54,3
2026-04-09 01:32:11-04:00,4742.5,4742.5,4742.5,4742.5,0.0,4742.5,0
2026-04-09 01:32:12-04:00,4742.4,4742.4,4742.4,4742.4,1.0,4742.4,1
2026-04-09 01:32:13-04:00,4742.2,4742.5,4742.2,4742.5,2.0,4742.35,2
2026-04-09 01:32:14-04:00,4742.6,4742.6,4742.6,4742.6,1.0,4742.6,1
2026-04-09 01:32:15-04:00,4742.6,4742.6,4742.6,4742.6,1.0,4742.6,1
2026-04-09 01:32:16-04:00,4742.6,4742.6,4742.6,4742.6,0.0,4742.6,0
2026-04-09 01:32:17-04:00,4743.0,4743.6,4743.0,4743.6,7.0,4743.24,4
2026-04-09 01:32:18-04:00,4743.6,4743.6,4743.6,4743.6,0.0,4743.6,0
2026-04-09 01:32:19-04:00,4743.3,4743.3,4743.3,4743.3,2.0,4743.3,2
2026-04-09 01:32:20-04:00,4743.3,4743.6,4743.3,4743.6,2.0,4743.45,2
2026-04-09 01:32:21-04:00,4744.1,4744.2,4744.1,4744.2,3.0,4744.13,2
2026-04-09 01:32:22-04:00,4744.1,4744.1,4743.6,4743.6,3.0,4743.77,2
2026-04-09 01:32:23-04:00,4743.7,4743.7,4743.0,4743.0,6.0,4743.33,4
2026-04-09 01:32:24-04:00,4743.0,4743.0,4742.5,4742.5,5.0,4742.74,4
2026-04-09 01:32:25-04:00,4742.5,4742.5,4742.5,4742.5,0.0,4742.5,0
2026-04-09 01:32:26-04:00,4742.5,4742.6,4742.5,4742.6,2.0,4742.55,2
2026-04-09 01:32:27-04:00,4742.6,4742.6,4742.6,4742.6,0.0,4742.6,0
2026-04-09 01:32:28-04:00,4742.6,4742.7,4742.6,4742.7,3.0,4742.67,2
2026-04-09 01:32:29-04:00,4742.2,4742.2,4742.1,4742.1,4.0,4742.13,2
2026-04-09 01:32:30-04:00,4741.7,4741.8,4741.1,4741.1,16.0,4741.48,8
2026-04-09 01:32:31-04:00,4741.4,4741.8,4741.1,4741.8,9.0,4741.36,9
