timestamp,open,high,low,close,volume,average,barCount
2026-03-30 23:44:00-04:00,4585.4,4585.4,4579.1,4580.3,142.0,4581.5,108
2026-03-30 23:45:00-04:00,4580.2,4582.5,4579.6,4579.9,106.0,4580.78,75
2026-03-30 23:46:00-04:00,4579.6,4580.7,4579.0,4579.8,68.0,4579.79,53
2026-03-30 23:47:00-04:00,4579.9,4580.1,4578.5,4579.3,90.0,4579.29,73
2026-03-30 23:48:00-04:00,4579.7,4582.5,4579.7,4581.9,62.0,4581.4,53
2026-03-30 23:49:00-04:00,4582.2,4582.2,4580.1,4581.3,39.0,4581.08,34
2026-03-30 23:50:00-04:00,4582.9,4585.2,4582.0,4583.7,66.0,4583.73,51
2026-03-30 23:51:00-04:00,4583.0,4583.7,4580.4,4580.4,34.0,4582.48,30
2026-03-30 23:52:00-04:00,4580.4,4585.0,4580.4,4584.8,69.0,4583.67,58
2026-03-30 23:53:00-04:00,4584.3,4585.7,4582.5,4585.6,52.0,4583.89,45
2026-03-30 23:54:00-04:00,4586.0,4586.3,4583.6,4584.1,29.0,4584.67,22
2026-03-30 23:55:00-04:00,4583.6,4585.1,4582.6,4582.7,17.0,4584.06,15
2026-03-30 23:56:00-04:00,4582.4,4584.9,4582.4,4583.7,15.0,4584.06,11
2026-03-30 23:57:00-04:00,4583.9,4584.1,4583.8,4584.1,4.0,4583.95,4
2026-03-30 23:58:00-04:00,4584.4,4585.0,4584.3,4584.9,11.0,4584.69,10
2026-03-30 23:59:00-04:00,4585.6,4585.9,4584.9,4585.1,10.0,4585.33,10
2026-03-31 00:00:00-04:00,4585.9,4587.9,4585.6,4587.0,57.0,4586.92,43
2026-03-31 00:01:00-04:00,4586.2,4587.2,4585.8,4585.8,18.0,4586.56,15
2026-03-31 00:02:00-04:00,4585.6,4588.0,4585.6,4587.9,27.0,4587.05,22
2026-03-31 00:03:00-04:00,4587.5,4589.2,4587.3,4588.4,46.0,4588.37,36
2026-03-31 00:04:00-04:00,4588.5,4588.9,4588.1,4588.2,23.0,4588.52,19
2026-03-31 00:05:00-04:00,4588.0,4589.9,4587.7,4589.3,60.0,4588.66,45
2026-03-31 00:06:00-04:00,4589.6,4594.3,4587.6,4587.6,313.0,4591.2,201
2026-03-31 00:07:00-04:00,4587.5,4590.2,4585.7,4590.2,84.0,4588.4,64
2026-03-31 00:08:00-04:00,4590.3,4591.7,4589.2,4589.5,78.0,4590.64,60
2026-03-31 00:09:00-04:00,4590.0,4590.4,4587.4,4587.9,26.0,4588.65,23
2026-03-31 00:10:00-04:00,4588.0,4588.6,4587.4,4588.6,22.0,4588.04,22
2026-03-31 00:11:00-04:00,4589.0,4589.8,4587.2,4588.3,20.0,4588.85,19
2026-03-31 00:12:00-04:00,4588.8,4591.6,4588.7,4590.3,38.0,4590.51,32
2026-03-31 00:13:00-04:00,4589.8,4589.8,4587.1,4587.1,13.0,4588.48,13
2026-03-31 00:14:00-04:00,4587.5,4587.5,4585.5,4586.0,19.0,4586.55,16
2026-03-31 00:15:00-04:00,4586.5,4588.6,4585.7,4587.3,35.0,4587.0,34
2026-03-31 00:16:00-04:00,4587.6,4587.6,4586.1,4587.0,21.0,4586.85,20
2026-03-31 00:17:00-04:00,4587.6,4589.2,4587.6,4588.7,9.0,4588.37,9
2026-03-31 00:18:00-04:00,4588.7,4593.8,4588.6,4593.3,178.0,4591.99,144
2026-03-31 00:19:00-04:00,4593.4,4593.9,4591.0,4591.7,41.0,4592.34,33
2026-03-31 00:20:00-04:00,4591.8,4597.8,4591.8,4595.2,181.0,4594.92,139
2026-03-31 00:21:00-04:00,4595.0,4595.2,4592.0,4592.0,62.0,4593.27,53
2026-03-31 00:22:00-04:00,4592.5,4593.5,4588.8,4589.1,109.0,4591.06,84
2026-03-31 00:23:00-04:00,4588.5,4589.8,4588.4,4589.0,35.0,4589.1,30
2026-03-31 00:24:00-04:00,4589.1,4589.1,4587.7,4588.1,27.0,4588.54,21
2026-03-31 00:25:00-04:00,4587.8,4589.0,4587.2,4587.4,57.0,4588.1,48
2026-03-31 00:26:00-04:00,4587.5,4590.6,4587.5,4590.2,22.0,4589.26,21
2026-03-31 00:27:00-04:00,4590.2,4590.9,4589.5,4590.3,24.0,4590.33,16
